link,tag,tag_type
https://en.wikipedia.org/wiki/Sustainable_agriculture,Sustainable agriculture,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,Polyculture,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,Shade-grown coffee,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Climate change,Disease
https://en.wikipedia.org/wiki/Sustainable_agriculture,Ecosystem services,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,Deforestation,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Sustainable food systems,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,Flexible business processes,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,Land degradation,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Environmental footprint,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,Water pollution,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,Water scarcity,Process
https://en.wikipedia.org/wiki/Sustainable_agriculture,biodiversity,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,permaculture,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,agroforestry,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,mixed farming,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,multiple cropping,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,crop rotation,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,land sparing,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,climate change,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,organic certification,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,Rainforest Alliance,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,Fair Trade,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,UTZ Certified,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,GlobalGAP,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,Bird Friendly,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,Common Code for the Coffee Community,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,environmental impacts,Disease
https://en.wikipedia.org/wiki/Sustainable_agriculture,sustainable diets,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,West Asia,Place
https://en.wikipedia.org/wiki/Sustainable_agriculture,Ancient Egypt,Place
https://en.wikipedia.org/wiki/Sustainable_agriculture,Ancient Greece,Place
https://en.wikipedia.org/wiki/Sustainable_agriculture,Ancient Rome,Place
https://en.wikipedia.org/wiki/Sustainable_agriculture,Austronesia,Place
https://en.wikipedia.org/wiki/Sustainable_agriculture,agricultural science,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,agricultural history,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,Arab Agricultural Revolution,Event
https://en.wikipedia.org/wiki/Sustainable_agriculture,Argentina,Place
https://en.wikipedia.org/wiki/Sustainable_agriculture,Canada,Place
https://en.wikipedia.org/wiki/Sustainable_agriculture,China,Place
https://en.wikipedia.org/wiki/Sustainable_agriculture,Chile,Place
https://en.wikipedia.org/wiki/Sustainable_agriculture,Columbian exchange,Event
https://en.wikipedia.org/wiki/Sustainable_agriculture,Green Revolution,Event
https://en.wikipedia.org/wiki/Sustainable_agriculture,Indian subcontinent,Place
https://en.wikipedia.org/wiki/Sustainable_agriculture,Mesoamerica,Place
https://en.wikipedia.org/wiki/Sustainable_agriculture,Middle Ages,Period
https://en.wikipedia.org/wiki/Sustainable_agriculture,Neolithic Revolution,Event
https://en.wikipedia.org/wiki/Sustainable_agriculture,organic farming,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,Palestine,Place
https://en.wikipedia.org/wiki/Sustainable_agriculture,Peru,Place
https://en.wikipedia.org/wiki/Sustainable_agriculture,United Kingdom,Place
https://en.wikipedia.org/wiki/Sustainable_agriculture,British Agricultural Revolution,Event
https://en.wikipedia.org/wiki/Sustainable_agriculture,Cheshire,Place
https://en.wikipedia.org/wiki/Sustainable_agriculture,Scotland,Place
https://en.wikipedia.org/wiki/Sustainable_agriculture,United States,Place
https://en.wikipedia.org/wiki/Sustainable_agriculture,California,Place
https://en.wikipedia.org/wiki/Sustainable_agriculture,Agrivoltaic,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,animal husbandry,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,cattle,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,pigs,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,poultry,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,sheep,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,dairy,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,dryland,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,extensive,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,fertilizer,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,free-range,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,grazing,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,convertible husbandry,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,rotational grazing,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,hobby,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,intensive,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,natural,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,monoculture,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,orchard,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,paddy field,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,ranching,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,sharecropping,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,Slash-and-burn,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,Steam sterilization,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,Hydroculture,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,Aquaculture,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,Aquaponics,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,Hydroponics,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,Aeroponics,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,Agribusiness,Field
https://en.wikipedia.org/wiki/Sustainable_agriculture,Agricultural cooperative,Concept
https://en.wikipedia.org/wiki/Sustainable_agriculture,Agricultural science,Field
https://en.wikipedia.org/wiki/Sustainable_agriculture,Agricultural engineering,Field
https://en.wikipedia.org/wiki/Sustainable_agriculture,Agricultural technology,Field
https://en.wikipedia.org/wiki/Sustainable_agriculture,Precision agriculture,Method
https://en.wikipedia.org/wiki/Sustainable_agriculture,Biotechnology,Technology
https://en.wikipedia.org/wiki/Sustainable_agriculture,Agronomy,Field
